#format table ## [Custom WaveView] saved 00:59:01 Sat Jan 13 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.430E-03 , 9.263E-05 , 9.263E-05 , 9.263E-05 , 1.302E+00 , 9.263E-05 , 9.263E-05 
 8.480E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.770E-04 , 1.337E+00 
 8.530E-03 , 1.070E-05 , 1.070E-05 , 1.070E-05 , 1.070E-05 , 1.274E+00 , 1.313E+00 
 8.580E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.769E-04 , 1.337E+00 
 8.630E-03 , 9.267E-05 , 9.267E-05 , 9.267E-05 , 1.302E+00 , 9.267E-05 , 9.265E-05 
 8.680E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.561E-05 , 2.554E-05 
 8.730E-03 , 1.070E-05 , 1.070E-05 , 1.070E-05 , 1.070E-05 , 1.274E+00 , 1.313E+00 
 8.780E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.560E-05 , 2.563E-05 
 8.830E-03 , 9.272E-05 , 9.272E-05 , 9.272E-05 , 1.302E+00 , 9.272E-05 , 9.274E-05 
 8.880E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.560E-05 , 2.554E-05 
 8.930E-03 , 9.275E-05 , 9.275E-05 , 9.275E-05 , 1.302E+00 , 9.275E-05 , 9.275E-05 
 8.980E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.560E-05 , 2.552E-05 
 9.030E-03 , 9.277E-05 , 9.277E-05 , 9.277E-05 , 1.302E+00 , 9.277E-05 , 9.275E-05 
 9.080E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.559E-05 , 2.553E-05 
 9.130E-03 , 9.823E-06 , 9.823E-06 , 9.824E-06 , 1.313E+00 , 9.824E-06 , 1.313E+00 
 9.180E-03 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.764E-04 , 1.317E+00 , 1.337E+00 
 9.230E-03 , 9.281E-05 , 9.281E-05 , 9.281E-05 , 1.302E+00 , 9.281E-05 , 9.278E-05 
 9.280E-03 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.763E-04 , 1.316E+00 , 1.337E+00 
 9.330E-03 , 9.825E-06 , 9.825E-06 , 9.826E-06 , 1.313E+00 , 9.823E-06 , 1.313E+00 
 9.380E-03 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.763E-04 , 1.316E+00 , 1.337E+00 
 9.430E-03 , 9.828E-06 , 9.829E-06 , 9.829E-06 , 1.313E+00 , 9.829E-06 , 1.313E+00 
 9.480E-03 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.760E-04 , 1.316E+00 , 1.337E+00 
 9.530E-03 , 9.830E-06 , 9.830E-06 , 9.830E-06 , 1.313E+00 , 9.830E-06 , 1.313E+00 
 9.580E-03 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.760E-04 , 1.316E+00 , 1.337E+00 
 9.630E-03 , 9.832E-06 , 9.832E-06 , 9.833E-06 , 1.313E+00 , 9.835E-06 , 1.313E+00 
 9.680E-03 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.830E-05 , 1.325E+00 , 2.830E-05 
 9.730E-03 , 9.833E-06 , 9.833E-06 , 9.833E-06 , 1.313E+00 , 9.834E-06 , 1.313E+00 
 9.780E-03 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.829E-05 , 1.325E+00 , 2.831E-05 
 9.830E-03 , 1.072E-05 , 1.072E-05 , 1.072E-05 , 1.274E+00 , 1.313E+00 , 1.073E-05 
 9.880E-03 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.828E-05 , 1.325E+00 , 2.821E-05 
 9.930E-03 , 1.072E-05 , 1.072E-05 , 1.072E-05 , 1.274E+00 , 1.313E+00 , 1.071E-05 
 9.980E-03 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.828E-05 , 1.325E+00 , 2.820E-05 
 1.003E-02 , 1.073E-05 , 1.073E-05 , 1.073E-05 , 1.274E+00 , 1.313E+00 , 1.071E-05 
 1.008E-02 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.827E-05 , 1.325E+00 , 2.820E-05 
 1.013E-02 , 1.073E-05 , 1.073E-05 , 1.073E-05 , 1.274E+00 , 1.313E+00 , 1.071E-05 
 1.018E-02 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.827E-05 , 2.827E-05 , 1.325E+00 
 1.023E-02 , 1.073E-05 , 1.073E-05 , 1.073E-05 , 1.274E+00 , 1.313E+00 , 1.070E-05 
 1.028E-02 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.826E-05 , 2.826E-05 , 1.325E+00 
 1.033E-02 , 9.060E-06 , 9.060E-06 , 9.060E-06 , 1.284E+00 , 1.284E+00 , 1.319E+00 
 1.038E-02 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.825E-05 , 2.825E-05 , 1.325E+00 
 1.043E-02 , 9.060E-06 , 9.060E-06 , 9.061E-06 , 1.284E+00 , 1.284E+00 , 1.319E+00 
 1.048E-02 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.825E-05 , 2.825E-05 , 1.325E+00 
 1.053E-02 , 9.061E-06 , 9.061E-06 , 9.061E-06 , 1.284E+00 , 1.284E+00 , 1.319E+00 
 1.058E-02 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.824E-05 , 2.825E-05 , 1.325E+00 
 1.063E-02 , 9.312E-05 , 9.312E-05 , 1.302E+00 , 9.312E-05 , 9.312E-05 , 9.310E-05 
