#format table ## [Custom WaveView] saved 14:30:34 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.130E-03 , 1.967E-04 , 1.967E-04 , 1.967E-04 , 1.967E-04 , 1.250E+00 , 1.300E+00 
 8.180E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.912E-05 , 1.326E+00 
 8.230E-03 , 1.967E-04 , 1.967E-04 , 1.967E-04 , 1.967E-04 , 1.250E+00 , 1.300E+00 
 8.280E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.911E-05 , 1.326E+00 
 8.330E-03 , 1.968E-04 , 1.968E-04 , 1.968E-04 , 1.968E-04 , 1.250E+00 , 1.300E+00 
 8.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 9.112E-06 , 9.104E-06 
 8.430E-03 , 1.322E-03 , 1.322E-03 , 1.322E-03 , 1.289E+00 , 1.322E-03 , 1.322E-03 
 8.480E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.911E-05 , 1.326E+00 
 8.530E-03 , 1.969E-04 , 1.969E-04 , 1.969E-04 , 1.969E-04 , 1.250E+00 , 1.300E+00 
 8.580E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.910E-05 , 1.326E+00 
 8.630E-03 , 1.323E-03 , 1.323E-03 , 1.323E-03 , 1.289E+00 , 1.323E-03 , 1.323E-03 
 8.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 9.112E-06 , 9.094E-06 
 8.730E-03 , 1.970E-04 , 1.970E-04 , 1.970E-04 , 1.970E-04 , 1.250E+00 , 1.300E+00 
 8.780E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 9.110E-06 , 9.170E-06 
 8.830E-03 , 1.323E-03 , 1.323E-03 , 1.323E-03 , 1.289E+00 , 1.323E-03 , 1.323E-03 
 8.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 9.111E-06 , 9.090E-06 
 8.930E-03 , 1.324E-03 , 1.324E-03 , 1.324E-03 , 1.289E+00 , 1.324E-03 , 1.324E-03 
